Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2017,08,14,12.3,1,Y
IDCJAC0011,086338,2017,08,15,10.4,1,Y
IDCJAC0011,086338,2017,08,16,12.1,1,Y
IDCJAC0011,086338,2017,08,17,9.3,1,Y
IDCJAC0011,086338,2017,08,18,8.0,1,Y
IDCJAC0011,086338,2017,08,19,5.9,1,Y
IDCJAC0011,086338,2017,08,20,5.1,1,Y
IDCJAC0011,086338,2017,08,21,6.8,1,Y
IDCJAC0011,086338,2017,08,22,5.7,1,Y
IDCJAC0011,086338,2017,08,23,8.3,1,Y
IDCJAC0011,086338,2017,08,24,5.2,1,Y
IDCJAC0011,086338,2017,08,25,4.9,1,Y
IDCJAC0011,086338,2017,08,26,9.9,1,Y
IDCJAC0011,086338,2017,08,27,5.8,1,Y
IDCJAC0011,086338,2017,08,28,5.8,1,Y
IDCJAC0011,086338,2017,08,29,5.4,1,Y
IDCJAC0011,086338,2017,08,30,7.7,1,Y
IDCJAC0011,086338,2017,08,31,4.0,1,Y
IDCJAC0011,086338,2017,09,01,3.7,1,Y
IDCJAC0011,086338,2017,09,02,7.3,1,Y
IDCJAC0011,086338,2017,09,03,13.4,1,Y
IDCJAC0011,086338,2017,09,04,8.8,1,Y
IDCJAC0011,086338,2017,09,05,6.5,1,Y
IDCJAC0011,086338,2017,09,06,6.7,1,Y
IDCJAC0011,086338,2017,09,07,7.9,1,Y
IDCJAC0011,086338,2017,09,08,8.0,1,Y
IDCJAC0011,086338,2017,09,09,7.1,1,Y
IDCJAC0011,086338,2017,09,10,5.3,1,Y
IDCJAC0011,086338,2017,09,11,8.1,1,Y
IDCJAC0011,086338,2017,09,12,12.2,1,Y
IDCJAC0011,086338,2017,09,13,13.3,1,Y
IDCJAC0011,086338,2017,09,14,5.8,1,Y
IDCJAC0011,086338,2017,09,15,9.6,1,Y
IDCJAC0011,086338,2017,09,16,7.4,1,Y
IDCJAC0011,086338,2017,09,17,4.0,1,Y
IDCJAC0011,086338,2017,09,18,10.5,1,Y
IDCJAC0011,086338,2017,09,19,9.0,1,Y
IDCJAC0011,086338,2017,09,20,6.0,1,Y
IDCJAC0011,086338,2017,09,21,11.6,1,Y
IDCJAC0011,086338,2017,09,22,12.8,1,Y
IDCJAC0011,086338,2017,09,23,14.8,1,Y
IDCJAC0011,086338,2017,09,24,12.9,1,Y
IDCJAC0011,086338,2017,09,25,10.3,1,Y
IDCJAC0011,086338,2017,09,26,5.0,1,Y
IDCJAC0011,086338,2017,09,27,9.6,1,Y
IDCJAC0011,086338,2017,09,28,10.4,1,Y
IDCJAC0011,086338,2017,09,29,10.6,1,Y
IDCJAC0011,086338,2017,09,30,11.0,1,Y
IDCJAC0011,086338,2017,10,01,9.7,1,N
IDCJAC0011,086338,2017,10,02,9.5,1,N
IDCJAC0011,086338,2017,10,03,6.8,1,N
IDCJAC0011,086338,2017,10,04,8.5,1,N
IDCJAC0011,086338,2017,10,05,11.7,1,N
IDCJAC0011,086338,2017,10,06,10.1,1,N
IDCJAC0011,086338,2017,10,07,7.2,1,N
IDCJAC0011,086338,2017,10,08,11.1,1,N
IDCJAC0011,086338,2017,10,09,14.0,1,N
IDCJAC0011,086338,2017,10,10,8.0,1,N
IDCJAC0011,086338,2017,10,11,9.8,1,N
IDCJAC0011,086338,2017,10,12,10.5,1,N
IDCJAC0011,086338,2017,10,13,13.1,1,N
IDCJAC0011,086338,2017,10,14,8.2,1,N
IDCJAC0011,086338,2017,10,15,6.8,1,N
IDCJAC0011,086338,2017,10,16,11.3,1,N
IDCJAC0011,086338,2017,10,17,12.8,1,N
IDCJAC0011,086338,2017,10,18,14.5,1,N
IDCJAC0011,086338,2017,10,19,21.7,1,N
IDCJAC0011,086338,2017,10,20,11.3,1,N
IDCJAC0011,086338,2017,10,21,11.0,1,N
IDCJAC0011,086338,2017,10,22,11.1,1,N
IDCJAC0011,086338,2017,10,23,11.9,1,N
IDCJAC0011,086338,2017,10,24,12.1,1,N
IDCJAC0011,086338,2017,10,25,13.3,1,N
IDCJAC0011,086338,2017,10,26,12.9,1,N
IDCJAC0011,086338,2017,10,27,10.3,1,N
IDCJAC0011,086338,2017,10,28,15.0,1,N
IDCJAC0011,086338,2017,10,29,11.5,1,N
IDCJAC0011,086338,2017,10,30,8.8,1,N
IDCJAC0011,086338,2017,10,31,8.1,1,N
IDCJAC0011,086338,2017,11,01,11.9,1,Y
IDCJAC0011,086338,2017,11,02,11.3,1,Y
IDCJAC0011,086338,2017,11,03,9.4,1,Y
IDCJAC0011,086338,2017,11,04,8.3,1,Y
IDCJAC0011,086338,2017,11,05,6.4,1,Y
IDCJAC0011,086338,2017,11,06,10.9,1,Y
IDCJAC0011,086338,2017,11,07,10.0,1,Y
IDCJAC0011,086338,2017,11,08,12.1,1,Y
IDCJAC0011,086338,2017,11,09,8.7,1,Y
IDCJAC0011,086338,2017,11,10,12.1,1,Y
IDCJAC0011,086338,2017,11,11,14.8,1,Y
IDCJAC0011,086338,2017,11,12,13.2,1,Y
IDCJAC0011,086338,2017,11,13,13.7,1,Y
IDCJAC0011,086338,2017,11,14,18.2,1,Y
IDCJAC0011,086338,2017,11,15,21.5,1,Y
IDCJAC0011,086338,2017,11,16,18.1,1,Y
IDCJAC0011,086338,2017,11,17,16.4,1,Y
IDCJAC0011,086338,2017,11,18,16.1,1,Y
IDCJAC0011,086338,2017,11,19,15.1,1,Y
IDCJAC0011,086338,2017,11,20,16.6,1,Y
IDCJAC0011,086338,2017,11,21,17.8,1,Y
IDCJAC0011,086338,2017,11,22,18.7,1,Y
IDCJAC0011,086338,2017,11,23,16.2,1,Y
IDCJAC0011,086338,2017,11,24,18.6,1,Y
IDCJAC0011,086338,2017,11,25,19.3,1,Y
IDCJAC0011,086338,2017,11,26,19.4,1,Y
IDCJAC0011,086338,2017,11,27,16.5,1,Y
IDCJAC0011,086338,2017,11,28,13.7,1,Y
IDCJAC0011,086338,2017,11,29,18.5,1,Y
IDCJAC0011,086338,2017,11,30,22.5,1,Y
IDCJAC0011,086338,2017,12,01,21.5,1,N
IDCJAC0011,086338,2017,12,02,14.7,1,N
IDCJAC0011,086338,2017,12,03,11.5,1,N
IDCJAC0011,086338,2017,12,04,12.4,1,N
IDCJAC0011,086338,2017,12,05,10.8,1,N
IDCJAC0011,086338,2017,12,06,13.6,1,N
IDCJAC0011,086338,2017,12,07,11.6,1,N
IDCJAC0011,086338,2017,12,08,11.4,1,N
IDCJAC0011,086338,2017,12,09,12.7,1,N
IDCJAC0011,086338,2017,12,10,14.5,1,N
IDCJAC0011,086338,2017,12,11,16.4,1,N
IDCJAC0011,086338,2017,12,12,15.8,1,N
