Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2016-05-29,1547.6048583984375,794.0368041992188,-37.83671188354492,145.16282653808594,-37.825016021728516,145.19131469726562,3.3782827854156494,18.76000213623047,0.5199999809265137,1979,,,,,78120736,1346648,
2016-05-30,1797.380615234375,5043.15380859375,-37.83718490600586,144.95578002929688,-37.779747009277344,145.1867218017578,3.2861361503601074,29.990007400512695,0.5056678652763367,8993,,,,,71476790,6196503,
2016-05-31,1666.287841796875,2687.0771484375,-37.82967758178711,144.95584106445312,-37.77924728393555,145.18565368652344,2.289950132369995,27.710086822509766,0.5200961232185364,5217,,,,,74899194,3644872,
2016-06-01,1712.4757080078125,4154.86865234375,-37.836585998535156,144.94674682617188,-37.81219482421875,145.1947021484375,3.627819776535034,18.560096740722656,0.5015974640846252,6257,,,,,74367340,4384347,
2016-06-02,1767.920166015625,4710.220703125,-37.82963562011719,144.95606994628906,-37.779632568359375,145.18959045410156,4.037557601928711,31.240001678466797,0.5200961232185364,8160,,,,,71323141,5624473,
2016-06-03,1749.3319091796875,4242.46630859375,-37.83573532104492,144.94781494140625,-37.77987289428711,145.18551635742188,3.774765729904175,28.650211334228516,0.5099999904632568,7381,,,,,69298907,5088272,
2016-06-04,1636.908447265625,1859.4656982421875,-37.89115905761719,145.02529907226562,-37.81804656982422,145.28602600097656,5.159640312194824,27.030668258666992,0.5044799447059631,3656,,,,,72009530,3080644,
2016-06-05,1527.0933837890625,633.0150756835938,-37.888832092285156,144.98973083496094,-37.77980422973633,145.19248962402344,3.7275571823120117,33.16014862060547,0.5003998279571533,1537,,,,,76460419,948379,
2016-06-06,1666.6044921875,4114.525390625,-37.83485412597656,144.94845581054688,-37.77987289428711,145.18844604492188,2.7955522537231445,38.8102912902832,0.550817608833313,5441,,,,,76062844,3400167,
2016-06-07,1602.0560302734375,1810.3143310546875,-37.83485412597656,144.94674682617188,-37.81219482421875,145.18844604492188,2.5774261951446533,20.420000076293945,0.5208646655082703,3922,,,,,77399276,2259304,62953
2016-06-08,1709.917724609375,3727.445068359375,-37.83485412597656,144.94906616210938,-37.81634521484375,145.18844604492188,5.784484386444092,21.126110076904297,0.5246903300285339,6407,,,,,74554095,3928483,238406
2016-06-09,1658.8592529296875,2608.74951171875,-37.828739166259766,144.9564971923828,-37.77975082397461,145.1861114501953,2.820315361022949,29.53028678894043,0.720277726650238,5090,,,,,75537130,3269845,103177
2016-06-10,1845.66064453125,5714.6181640625,-37.829158782958984,144.94813537597656,-37.77972412109375,145.18630981445312,3.432861089706421,29.150041580200195,0.5147814750671387,9691,,,,,69317129,7133950,
2016-06-11,1547.2581787109375,1021.7731323242188,-37.83485412597656,144.99327087402344,-37.779693603515625,145.18844604492188,3.522726535797119,28.10462760925293,0.5803447365760803,1706,,,,,76786900,1325900,
2016-06-12,1585.2794189453125,1459.2222900390625,-37.84172058105469,145.14999389648438,-37.64732360839844,145.54579162597656,6.045670986175537,30.500001907348633,0.5124451518058777,3561,,,,,74374262,2078173,
2016-06-13,1701.70458984375,2728.75927734375,-37.836395263671875,145.18287658691406,-37.8104248046875,145.2307586669922,2.692744493484497,21.461454391479492,0.6118823289871216,5488,,,,,78491175,4338774,
