Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms)
18:30:00.000+11:00,18:45:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
18:45:00.000+11:00,19:00:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
19:00:00.000+11:00,19:15:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
19:15:00.000+11:00,19:30:00.000+11:00,15.294270515441895,,-37.82886505126953,145.1836395263672,-37.82863235473633,145.18374633789062,,,,28,,,,900000
19:30:00.000+11:00,19:45:00.000+11:00,15.294270515441895,,-37.8290901184082,145.1833953857422,-37.828590393066406,145.18365478515625,1.6274999380111694,1.6699999570846558,1.559999942779541,13,,,,900000
19:45:00.000+11:00,20:00:00.000+11:00,15.294270515441895,,,,,,,,,4,,,,900000
20:00:00.000+11:00,20:15:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
20:15:00.000+11:00,20:30:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
20:30:00.000+11:00,20:45:00.000+11:00,15.294270515441895,,-37.82862854003906,145.1836395263672,-37.82862854003906,145.1836395263672,,,,,,,,900000
20:45:00.000+11:00,21:00:00.000+11:00,15.294270515441895,,-37.82862091064453,145.1836395263672,-37.82862091064453,145.1836395263672,,,,,,,,900000
21:00:00.000+11:00,21:15:00.000+11:00,15.294270515441895,,-37.82863235473633,145.1836395263672,-37.8286247253418,145.1836395263672,,,,,,,,900000
21:15:00.000+11:00,21:30:00.000+11:00,15.294270515441895,,-37.82862091064453,145.1836395263672,-37.82862091064453,145.1836395263672,,,,,,,,900000
21:30:00.000+11:00,21:45:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
21:45:00.000+11:00,22:00:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
22:00:00.000+11:00,22:15:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
22:15:00.000+11:00,22:30:00.000+11:00,15.294270515441895,,-37.8286247253418,145.1836395263672,-37.8286247253418,145.1836395263672,,,,,,,,900000
22:30:00.000+11:00,22:45:00.000+11:00,15.294270515441895,,-37.8286247253418,145.1836395263672,-37.8286247253418,145.1836395263672,,,,,,,,900000
22:45:00.000+11:00,23:00:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
23:00:00.000+11:00,23:15:00.000+11:00,15.294270515441895,,-37.828609466552734,145.1836395263672,-37.828609466552734,145.1836395263672,,,,24,,,,900000
23:15:00.000+11:00,23:30:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
23:30:00.000+11:00,23:45:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
23:45:00.000+11:00,00:00:00.000+11:00,15.294270515441895,,-37.828819274902344,145.1836700439453,-37.82868957519531,145.18373107910156,,,,2,,,,900000
